year,P,CPI,Q
1926,0.685,17.299999,2.140207
1927,0.98500001,17.1,2.218189
1928,0.94129997,17,2.26099
1929,0.79750001,16.9,2.135038
1930,0.5988,15.6,1.757297
1931,0.33250001,14,2.229903
1932,0.25749999,12.6,2.578685
1933,0.48880002,13.3,2.104725
1934,0.83249998,13.7,1.146734
1935,0.60750002,13.7,2.001367
1936,1.16,14.2,1.258673
1937,0.57880002,14.1,2.349425
1938,0.47499999,13.9,2.300095
1939,0.57779998,14,2.341602
1940,0.66960001,14.2,2.206882
1941,0.83829999,16,2.414445
1942,1.0026001,17.200001,2.801819
1943,1.0700001,17.4,2.66849
1944,1.1641001,17.799999,2.801612
1945,1.1849999,18.299999,2.577449
1946,1.7344999,21.9,2.916089
1947,2.3399,23.4,2.10832
1948,1.3636999,23.799999,3.307038
1949,1.3764,23.6,2.946206
1950,1.7995,25.799999,2.764071
1951,1.8646001,26.299999,2.628937
1952,1.5952001,26.6,2.980793
1953,1.5791,26.9,2.881801
1954,1.4936,26.700001,2.707913
1955,1.3494,26.799999,2.872959
1956,1.3145,27.799999,3.075336
1957,1.1995,28.799999,3.045355
1958,1.2223001,28.9,3.356205
1959,1.1759,29.4,3.824598
1960,1.1448001,29.799999,3.906949
1961,1.1308,30.1,3.597803
1962,1.2204,30.5,3.606311
1963,1.2416999,30.9,4.019238
1964,1.3353,31.299999,3.484253
1965,1.2845,32.099998,4.102867
1966,1.4141001,33,4.167608
1967,1.1712999,34.299999,4.860372
1968,1.1791999,36.099998,4.449542
1969,1.2437999,38.200001,4.687057
1970,1.5536,40,4.152243
1971,1.2272,41.400002,5.64626
1972,1.5925,43.299999,5.579832
1973,2.9889998,47.799999,5.670712
1974,2.9228001,52.700001,4.701402
1975,2.7117002,55.900002,5.840757
1976,2.5404,59.5,6.289169
1977,2.3868999,63.400002,6.505041
1978,2.4623001,69.800003,7.267927
1979,2.5999999,80.099998,7.928139
1980,3.4776001,88.5,6.639396
1981,2.6464002,94.5,8.11865
1982,2.8171999,97.900002,8.235101
1983,3.3701999,102.6,4.174251
1984,2.6898,106.4,7.67213
1985,2.289,108.8,8.875453
1986,1.4661,112.1,8.225764
1987,1.9191,116.5,7.1313
1988,2.6454999,122.3,4.928681
1989,2.447,128.7,7.531953
1990,2.4492998,135,7.934028
1991,2.6375,139.3,7.474765
1992,2.1543,143.60001,9.476698
1993,2.7545998,147.2,6.33773
1994,2.3564999,151.39999,10.05052
1995,3.9182999,155.7,7.400051
1996,2.9007998,160,9.232557
1997,2.5851998,162.2,9.206832
1998,2.0896001,165,9.758685
1999,2.0752001,171.2,9.430612
2000,1.9189,176.2,9.915051
2001,1.9215,178.8,9.50258
2002,2.309,184.2,8.966787
2003,2.8892999,187.39999,10.087292
2004,1.9677,193.3,11.805581
2005,2.0404,199.8,11.112187
2006,3.7573001,205.35201,10.531123
2007,5.1547499,213.528,13.037875
2008,3.58833,212.709,12.043203
2009,3.4010901,217.631,13.067156
2010,6.5869598,223.467,12.42533
2011,6.4650002,229.392,12.313956
2012,7.3246303,232.77299,10.755111
2013,4.63867,236.293,13.828964
2014,3.6683302,236.119,14.215532
2015,3.5431819,238.133,13.60200208
2016,3.3986959,243.8017,15.14801438
